단계코드,단계명,하위유형,데이터셋,컬럼번호,raw data 컬럼 헤더(문항 원문),레이아웃 코드,전 제품군 공통
S0,메타 (보고서 미출력),,투블럭에이아이 · 키위티,41,다음은 키위티 사용 가격 안내표입니다.  ※ 앞 문항 귀속: Q8. 글 첨삭 서비스를 구매(혹은 이용 결정)함에 있어서 가장 영향을 미칠 수 있는 핵심 요인은 무엇이라고 생각하십니까? - 이용 자유도,—,미출력
S1,인적 사항 및 특성·경험 조사,,리바랩스 · 캣독런,1,나이,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,리바랩스 · 캣독런,2,성별,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,리바랩스 · 캣독런,3,운영체제,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,리바랩스 · 캣독런,4,하루 평균 걷는 시간,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,리바랩스 · 캣독런,5,일주일 기준 산책 빈도,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,케어클 · 테크핏,4,나이를 입력해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,케어클 · 테크핏,5,성별을 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,케어클 · 테크핏,6,피부 타입,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,케어클 · 테크핏,7,"케어클의 ‘테크핏’을 체험하기 전, 다른 홈케어 뷰티 디바이스를 사용하고 계셨나요?",L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,케어클 · 테크핏,8,피부과에서 레이저/고주파 시술을 받은 경험이 있으신가요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,3,나이를 입력해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,4,성별을 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,5,운전 경력을 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,6,현재 소유하고 있는 차종을 적어주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,8,연 주행거리(km)가 얼마나 되시나요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,이젠오토 · 셀케어,9,셀프 차량 정비에 대한 경험의 수준을 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,5,나이를 입력해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,6,성별을 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,7,현재 거주 형태를 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,8,함께 거주 중인 가족 구성원 수를 선택해주세요,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,9,평소 집 정리나 수납이 어렵다고 느낀 적이 있으신가요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,10,집 정리를 할 때 가장 어려운 점은 무엇인가요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,정리습관,11,현재 본인 상황에 해당하는 항목을 모두 선택해주세요 (중복 선택),L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,투블럭에이아이 · 키위티,6,사용자 특성 파악 - 나이가 어떻게 되시나요? (만 나이를 기준으로 숫자만 작성해주세요),L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,투블럭에이아이 · 키위티,7,사용자 특성 파악 - 어떤 학생들을 대상으로 가르치고 계신가요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,투블럭에이아이 · 키위티,8,사용자 특성 파악 - 평소 글쓰기 활동 수업을 얼마나 자주 하시나요? (한 달 기준),L10|L10b|L1|L2|L9|L20,필수 5/5
S1,인적 사항 및 특성·경험 조사,,투블럭에이아이 · 키위티,9,현재 어떤 곳에서 근무 중이신가요?,L10|L10b|L1|L2|L9|L20,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,6,‘펫과의 산책’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,7,이유  ※ 앞 문항 귀속: ‘펫과의 산책’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,8,‘펫 성장 시스템’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,9,이유  ※ 앞 문항 귀속: ‘펫 성장 시스템’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,10,‘펫 꾸미기’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,11,이유  ※ 앞 문항 귀속: ‘펫 꾸미기’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,12,‘실시간 거점형’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,13,이유  ※ 앞 문항 귀속: ‘실시간 거점형’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,14,‘펫 교배’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,15,이유  ※ 앞 문항 귀속: ‘펫 교배’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,16,‘펫 레이싱’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,리바랩스 · 캣독런,17,이유  ※ 앞 문항 귀속: ‘펫 레이싱’ 기능 만족도,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,9,‘SHOT’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,10,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘SHOT’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,11,‘GLOW’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,12,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘GLOW’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,13,‘EMS’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,14,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘EMS’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,15,‘모드 전환’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,16,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘모드 전환’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,17,‘강도 조절’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,18,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘강도 조절’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,19,‘ LED 컬러 변경’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,20,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘ LED 컬러 변경’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,21,제품의 ‘ 인터페이스’ 에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,22,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: 제품의 ‘ 인터페이스’ 에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,23,‘ 보이스 알림’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,케어클 · 테크핏,24,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘ 보이스 알림’ 기능에 대해 얼마나 만족하시나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,10,앞의 ‘고장 내용 진단’ 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,11,위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 ‘고장 내용 진단’ 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,12,앞의 ‘고장 점검 콘텐츠' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,13,위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 ‘고장 점검 콘텐츠' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,14,앞의 ‘셀프 정비 콘텐츠' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,15,위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 ‘셀프 정비 콘텐츠' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,16,"앞의 '실시간 전문가 1:1 상담' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q12 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,17,"위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 '실시간 전문가 1:1 상담' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q12 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,18,"앞의 '맞춤 부품 추천' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q13 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,19,"위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 '맞춤 부품 추천' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q13 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,20,"앞의 '리워드' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q14 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,21,"위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 '리워드' 기능에서 체감하는 만족도는 몇 점입니까? ※원본 헤더 훼손, 보고서 Q14 기준 보정",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,22,앞의 ‘커뮤니티' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,23,위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 ‘커뮤니티' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,24,앞의 '예약' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,이젠오토 · 셀케어,25,위와 같이 평가한 이유는 무엇입니까?  ※ 앞 문항 귀속: 앞의 '예약' 기능에서 체감하는 만족도는 몇 점입니까?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,12,‘검색 - 홈페이지 – 서비스 신청’ 흐름으로 이용하셨을 때의 경험이 얼마나 만족스러우셨나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,13,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘검색 - 홈페이지 – 서비스 신청’ 흐름으로 이용하셨을 때의 경험이 얼마나 만족스러우셨나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,14,홈페이지 첫 화면에서 ‘정리습관’이 어떤 서비스인지 쉽게 이해할 수 있었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,15,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: 홈페이지 첫 화면에서 ‘정리습관’이 어떤 서비스인지 쉽게 이해할 수 있었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,16,홈페이지를 보며 신뢰감이 들었던 부분이 있었다면 무엇이었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,17,어떤 점 때문에 그렇게 느끼셨나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,18,‘정리의 목적’을 선택하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,19,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘정리의 목적’을 선택하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,20,‘정리 공간’에 대한 정보를 입력하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,21,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘정리 공간’에 대한 정보를 입력하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,22,‘정리할 물건의 양’을 선택하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,23,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘정리할 물건의 양’을 선택하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,24,"견적 결과 화면의 구성(문구, 시각적 요소 등)이 이해하기 쉬웠나요?",L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,25,견적 결과가 어떻게 산출되었는지 이해할 수 있었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,26,견적 결과를 보고 서비스가 얼마나 신뢰할 만하다고 느끼셨나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,27,‘예상 견적’을 확인하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,28,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: ‘예상 견적’을 확인하는 과정이 얼마나 만족스러웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,29,전체 서비스 신청 단계(정리 목적 선택~견적 확인)의 흐름이 이해하기 쉬웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,30,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: 전체 서비스 신청 단계(정리 목적 선택~견적 확인)의 흐름이 이해하기 쉬웠나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,31,각 단계의 목적과 입력 정보가 명확하게 이해되었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,32,위와 같이 평가한 이유는 무엇인가요?  ※ 앞 문항 귀속: 각 단계의 목적과 입력 정보가 명확하게 이해되었나요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,정리습관,33,진행 중 이해하기 어렵거나 부담스러웠던 단계가 있었다면 어떤 부분이었나요? (중복 선택),L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,투블럭에이아이 · 키위티,10,Q1. '마이 홈'에 대한 만족도는 몇 점입니까? - 만족도는 몇 점인가요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,투블럭에이아이 · 키위티,11,Q1. '마이 홈'에 대한 만족도는 몇 점입니까? - 본 기능을 사용하시면서 불편했던 점을 말씀해주세요.,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,투블럭에이아이 · 키위티,12,Q1. '마이 홈'에 대한 만족도는 몇 점입니까? - 개선 포인트가 있다면 작성해주세요.,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,투블럭에이아이 · 키위티,13,Q2. '계정 관리'에 대한 만족도는 몇 점입니까? - 만족도는 몇 점인가요?,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
S2,기능별 고객 경험 평가,기능 만족도,투블럭에이아이 · 키위티,14,Q2. '계정 관리'에 대한 만족도는 몇 점입니까? - 본 기능을 사용하시면서 불편했던 점을 말씀해주세요.,L10|L10a|L1a|L9a|L10b|L9|L1b|L12|L8|L8t|L11a|L11|L24,필수 5/5
